#100
#101 Copyright 2017-2021 Tim Segall
#102
#103 Licensed under the Apache License, Version 2.0 (the "License");
#104 you may not use this file except in compliance with the License.
#105 You may obtain a copy of the License at
#106
#107 http://www.apache.org/licenses/LICENSE-2.0
#108
#109 Unless required by applicable law or agreed to in writing, software
#110 distributed under the License is distributed on an "AS IS" BASIS,
#111 WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
#112 See the License for the specific language governing permissions and
#113 limitations under the License.
#114
ALLEY
ALY
ARCADE
AVE
AVE.
AVENUE
BLVD
BLVD.
BOULEVARD
BVD
BVD.
CENTER
CIR
CIR.
CIRCLE
CLOSE
CMN
CMNS
COMMON
COMMONS
CORNER
COURT
CREEK
CRK
CRES
CRES.
CRESCENT
CT
CT.
DR
DR.
DRIVE
ESPLANADE
EXPRESSWAY
EXPY
FORD
FRD
FTAFTAFTA
GARDEN
GARDENS
GATEWAY
GREEN
GROVE
GTWY
HEIGHTS
HIGHWAY
HILL
HTS
HWY
HWY.
LANDING
LANE
LN
LNDG
LOOP
MALL
MANOR
MEADOW
MEWS
MNR
PARADE
PARK
PARKWAY
PASS
PATH
PDE
PDE.
PIKE
PKWY
PKY
PL
PL.
PLACE
PLAZA
PLZ
POINT
PROMENADE
PT
QUAY
RD
RD.
RDG
RIDGE
ROAD
ROUTE
ROW
RTE
RUN
SQ
SQ.
SQUARE
ST
ST.
STREET
TCE
TCE.
TER
TER.
TERRACE
TPKE
TRAIL
TRL
TURNPIKE
VIEW
VILLAGE
VW
WALK
WAY
WY
