AROMANIAN
BELARUSIAN
BENGALI
BULGARIAN
CHINESE
CORNISH
CROATIAN
CZECH
DUTCH
ENGLISH
ESPERANTO
FRENCH
GAELIC
GERMAN
GOTHIC
HAWAIIAN
HEBREW
HUNGARIAN
ICELANDIC
IRISH
ITALIAN
LADINO
LATIN
LATVIAN
LOW GERMAN
MANX
MAORI
NEAPOLITAN
NORTH NDEBELE
PERSIAN
ROMANSH
RUSSIAN
SAMOAN
SCOTS
SHONA
SLOVAK
SPANISH
SWAHILI
SWEDISH
SYRIAC
TELUGU
TSONGA
WALLOON
WELSH
YIDDISH
ZULU
