#100
#101 Copyright 2017-2026 Tim Segall
#102
#103 Licensed under the Apache License, Version 2.0 (the "License");
#104 you may not use this file except in compliance with the License.
#105 You may obtain a copy of the License at
#106
#107 http://www.apache.org/licenses/LICENSE-2.0
#108
#109 Unless required by applicable law or agreed to in writing, software
#110 distributed under the License is distributed on an "AS IS" BASIS,
#111 WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
#112 See the License for the specific language governing permissions and
#113 limitations under the License.
円
日本円
ユーロ
米ドル
アメリカドル
イギリスポンド
英ポンド
スイスフラン
カナダドル
オーストラリアドル
ニュージーランドドル
中国人民元
人民元
香港ドル
台湾新台幣
韓国ウォン
北朝鮮ウォン
インドルピー
パキスタンルピー
バングラデシュタカ
スリランカルピー
ネパールルピー
ミャンマーチャット
タイバーツ
ベトナムドン
カンボジアリエル
ラオスキープ
インドネシアルピア
マレーシアリンギット
フィリピンペソ
シンガポールドル
ブルネイドル
モンゴルトゥグルク
カザフスタンテンゲ
ウズベキスタンスム
トルクメニスタンマナト
キルギスタンソム
タジキスタンソモニ
アゼルバイジャンマナト
ジョージアラリ
アルメニアドラム
イランリアル
イラクディナール
サウジアラビアリヤル
アラブ首長国連邦ディルハム
UAEディルハム
クウェートディナール
バーレーンディナール
カタールリヤル
オマーンリアル
ヨルダンディナール
イスラエルシェケル
レバノンポンド
シリアポンド
トルコリラ
アフガニスタンアフガニ
スウェーデンクローナ
ノルウェークローネ
デンマーククローネ
アイスランドクローナ
ポーランドズロチ
チェココルナ
ハンガリーフォリント
ルーマニアレウ
ブルガリアレフ
セルビアディナール
クロアチアクーナ
アルバニアレク
北マケドニアデナール
モルドバレウ
ウクライナフリヴニャ
ベラルーシルーブル
ロシアルーブル
メキシコペソ
ブラジルレアル
アルゼンチンペソ
チリペソ
コロンビアペソ
ペルーソル
ウルグアイペソ
ボリビアノ
パラグアイグアラニ
ベネズエラボリバル
エクアドルドル
コスタリカコロン
グアテマラケツァル
ホンジュラスレンピラ
ニカラグアコルドバ
パナマバルボア
キューバペソ
ジャマイカドル
ハイチグールド
ドミニカペソ
バルバドスドル
ガイアナドル
スリナムドル
南アフリカランド
エジプトポンド
ナイジェリアナイラ
ケニアシリング
タンザニアシリング
ウガンダシリング
エチオピアブル
ガーナセディ
モロッコディルハム
チュニジアディナール
アルジェリアディナール
リビアディナール
スーダンポンド
ソマリアシリング
ジンバブエドル
ザンビアクワチャ
モザンビークメティカル
アンゴラクワンザ
コンゴフラン
CFAフラン
フィジードル
パプアニューギニアキナ
