#100
#101 Copyright 2017-2023 Tim Segall
#102
#103 Licensed under the Apache License, Version 2.0 (the "License");
#104 you may not use this file except in compliance with the License.
#105 You may obtain a copy of the License at
#106
#107 http://www.apache.org/licenses/LICENSE-2.0
#108
#109 Unless required by applicable law or agreed to in writing, software
#110 distributed under the License is distributed on an "AS IS" BASIS,
#111 WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
#112 See the License for the specific language governing permissions and
#113 limitations under the License.
#114
AFGHAN
ALBANIAN
ALGERIAN
AMERICAN
ARGENTINE
AUSTRALIAN
AUSTRIAN
BANGLADESHI
BATSWANA
BELGIAN
BOLIVIAN
BRAZILIAN
BRITISH
BULGARIAN
CAMBODIAN
CAMEROONIAN
CANADIAN
CHILEAN
CHINESE
COLOMBIAN
COSTA RICAN
CROATIAN
CUBAN
CZECH
DANISH
DOMINICAN
DUTCH
ECUADORIAN
EGYPTIAN
EMIRATI
ENGLISH
ESTONIAN
ETHIOPIAN
FIJIAN
FINNISH
FRENCH
FTAFTAFTA
GERMAN
GHANAIAN
GREEK
GUATEMALAN
HAITIAN
HONDURAN
HUNGARIAN
ICELANDIC
INDIAN
INDONESIAN
IRANIAN
IRAQI
IRISH
IRISH / ENGLISH
ISRAELI
ITALIAN
JAMAICAN
JAPANESE
JORDANIAN
KENYAN
KOREAN
KUWAITI
LAO
LATVIAN
LEBANESE
LIBYAN
LITHUANIAN
MALAGASY
MALAYSIAN
MALIAN
MALTESE
MEXICAN
MONGOLIAN
MOROCCAN
MOZAMBICAN
NAMIBIAN
NEPALESE
NEW ZEALAND
NICARAGUAN
NIGERIAN
NORWEGIAN
PAKISTANI
PANAMANIAN
PARAGUAYAN
PERUVIAN
PHILIPPINE
POLISH
PORTUGUESE
ROMANIAN
RUSSIAN
SALVADORIAN
SAUDI
SCOTTISH
SENEGALESE
SERBIAN
SINGAPOREAN
SLOVAK
SOUTH AFRICAN
SPANISH
SRI LANKAN
SUDANESE
SWEDISH
SWISS
SYRIAN
TAIWANESE
TAJIKISTANI
THAI
TONGAN
TUNISIAN
TURKISH
UKRAINIAN
URUGUAYAN
VENEZUELAN
VIETNAMESE
WELSH
ZAMBIAN
ZIMBABWEAN
