ACEITUNA
AMARILLO
AVELLANA
AZUL
AZUL MARINO
BEIGE
BLANCA
BLANCO
BORGOÑA
BRONCE
BRONCEARSE
CAL
CANELA
CIAN
CREMA
DURAZNO
GRANATE
GRIS
GRIS
ÍNDIGO
LUZ
MAGENTA
MARRÓN
NARANJA
NEGRA
NEGRO
ORO
OSCURO
PLATA
PÚRPURA
ROJA
ROJO
ROSA
RUBIO
TEAL
TURQUESA
VERDE
VIOLETA
