BEIGE
BORDEAUX
HARMAA
HOPEA
INDIGO
KELTAINEN
KERMA
KORALLI
KULTA
LAVENTELI
LAIVASTONSININEN
LIME
LOHI
MAGENTA
MUSTA
NORSUNLUU
OLIIVI
ORANSSI
PRONSSI
PUNAINEN
RUSKEA
SININEN
SYAANI
TURKOOSI
VAALEANPUNAINEN
VALKOINEN
VIHREÄ
VIOLETTI
