AVI
BMP
CSS
CSV
DOC
DOCX
FLAC
GIF
HTM
HTML
JAR
JPEG
JPG
JS
JSON
KML
MOV
MP3
MP4
MPG
NUMBERS
ODP
ODS
ODT
OGG
PAGES
PDF
PNG
PPT
PPTX
RTF
SHP
TAR
TIF
TIFF
TXT
WAV
WEBM
WMV
XLS
XLSX
XML
ZIP
