BEŻOWY
BIAŁY
BORDOWY
BRĄZOWY
CYJAN
CZARNY
CZERWONY
FIOLETOWY
GRANATOWY
INDYGO
KORALOWY
KREMOWY
LAWENDOWY
LIMONKOWY
ŁOSOSIOWY
MAGENTA
MALINOWY
NIEBIESKI
OLIWKOWY
ORANŻ
POMARAŃCZOWY
RÓŻOWY
SREBRNY
SZARY
TURKUSOWY
ZŁOTY
ZIELONY
ŻÓŁTY
