オルデンバーグ
グンナルソン
ジェラビチ
デイベンポート
バイルシュタイン
ブルース
マクナマラ
ムーアハウス
ルロワ
一宝
万濃
三摩
上ノ門
上用
下川邊
与島
中妻
中釜
久仁
久道
亀濱
五十崎
井幡
京地
今町
仲武
伊熊
位下
佐田乃山
保原
倉舘
先納
全快娘
公望
内木
冲田
初波
前衛
加知下
勢嶋
十七里
升広
印
反迫
古芝
吉地
吐月
咄
問屋
嘉賀
国益
土居重
坂從
城弟
堂故
塩美
夏迫
夜差
大巴
大福地
天岩
奈雪
好木
宅麿
守田
宗佐
実藤
家の脇
富広
対喜
小坂衣
小武守
小貫山
尾城
屏之内
山野上
岩木川
峰尾
嶋津
川茂
市塚
幅尾
幸原
床野
建脇
当山
御巫
志摩村
悠可
成崎
扇柳
拓植
播麿
斉郷
新舩
日賀良
明石田
時耕
曾紙
朝塚
木添
本政
李家
東代
松任屋
林ノ内
柯意
栄屋
桂浦
桶河
棟長
椎埜
榎森
横儀
橘鷹
正房
段畑
水嚢
永禮
池島
沢面
泉滝
津久美
浅蔭
浮所
深里
渕柳
満石
漢人
濱貝
灰賀
爲久
犬田
玄覚
瑶樹
田中田
田越
畑矢
白塚山
盆子原
相馬
真蔦
知多
砂内
社本
祢屋
秋實
稲草
立夫
竹正
筈木
篤
粕江
紙名
綛井
繁竹
義鷹
肥田
臼巻
船亦
花之枝
若大蛇
茶弘
荻無里
萩倉
蒔平
薄雲
藤新
蛭ケ谷
袖裂
西海枝
覚正
諸井
豆生田
貴月
越宗
辰広
追留
道越
郷藤
重晴
野関
釜島
銭澤
鎭田
長谷中
閠間
阿津美
随行
霜手
音谷
飛世
香妻
高力
高野須
鱒野
鵜浜
鹿島田
黒神
