ALBASTRU
ALB
ARGINT
AUR
BEJ
BLEUMARIN
BORDEAUX
BRONZ
CORAL
CREM
CYAN
FILDEȘ
GALBEN
GRI
INDIGO
LAVANDĂ
LIME
MAGENTA
MARO
MĂSLINIU
NEGRU
PORTOCALIU
ROZ
ROȘU
SOMON
TEAL
TURCOAZ
VERDE
VIOLET
