ARUSHA
DAR ES SALAAM
DODOMA
GEITA
IRINGA
KAGERA
KATAVI
KIGOMA
KILIMANJARO
LINDI
MANYARA
MARA
MBEYA
MJINI MAGHARIBI
MOROGORO
MTWARA
MWANZA
NJOMBE
PEMBA NORTH
PEMBA SOUTH
PWANI
RUKWA
RUVUMA
SHINYANGA
SIMIYU
SINGIDA
SONGWE
TABORA
TANGA
UNGUJA NORTH
UNGUJA SOUTH
