AFRIKÁANS
ALBANÉS
ALEMÁN
AMHÁRICO
ÁRABE
ARMENIO
AZERBAIYANO
BASKUENCE
BENGALÍ
BÚLGARO
CATALÁN
CHINO
COREANO
CROATA
DANÉS
ESLOVACO
ESLOVENO
ESPAÑOL
ESTONIO
FINLANDÉS
FRANCÉS
GALLEGO
GEORGIANO
GRIEGO
GUJARATI
HEBREO
HINDI
HÚNGARO
INDONESIO
INGLÉS
IRLANDÉS
ISLANDÉS
ITALIANO
JAPONÉS
KAZAJO
KIRGUÍS
KURDO
LETÓN
LITUANO
LUXEMBURGUÉS
MACEDONIO
MALAYO
MALTÉS
MARATÍ
MONGOL
NEERLANDÉS
NORUEGO
PERSA
POLACO
PORTUGUÉS
PUNJABI
RUMANO
RUSO
SERBIO
CINGALÉS
SOMALÍ
SUAJILI
SUECO
TAMIL
TURCO
UCRANIANO
URDU
UZBEKO
VIETNAMITA
YORUBA
ZULÚ
