BEIGE
BLAUW
BLONDE
BOURGONDIË
BRONZEN
BRUIN
BRUINEN
CYAAN
DONKER
GEEL
GOUD
GRIJS
GROEN
HAZEL
INDIGO
KASTANJEBRUIN
LICHT
LIMOEN
MAGENTA
MARINEBLAUW
OLIJF
ORANJE
PAARS
PERZIK
ROOD
ROOM
ROZE
TEAL
TURKOOIS
WIT
ZILVER
ZWART
