AMARELO
AZUL
AZUL MARINHO
BEGE
BORDEAUX
BORDÔ
BRANCO
BRONZE
CASTANHO
CIANO
CINZA
CINZENTO
CORAL
CREME
DOURADO
ÍNDIGO
LARANJA
LAVANDA
LIMÃO
MAGENTA
MARFIM
MARROM
OLIVA
OURO
PRATA
PRETO
PÊSSEGO
ROSA
ROXO
SALMÃO
TURQUESA
VERDE
VERMELHO
VIOLETA
