#001
#002 Common Japanese given names (first names), sourced from the JMnedict file.
#003 JMnedict is copyright (C) 2000-2026 The Electronic Dictionary Research and Development Group.
#004 Used under the Creative Commons Attribution-ShareAlike Licence (V4.0).
#005 https://www.edrdg.org/jmdict/j_jmdict.html
#006
#100
#101 Copyright 2017-2026 Tim Segall
#102
#103 Licensed under the Apache License, Version 2.0 (the "License");
#104 you may not use this file except in compliance with the License.
#105 You may obtain a copy of the License at
#106
#107 http://www.apache.org/licenses/LICENSE-2.0
#108
#109 Unless required by applicable law or agreed to in writing, software
#110 distributed under the License is distributed on an "AS IS" BASIS,
#111 WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
#112 See the License for the specific language governing permissions and
#113 limitations under the License.
ああ
ああさ
あい
あいえ
あいか
あいか瞬
あいき
あいこ
あいしゃ
あいす
あいち
あいと
あいな
あいね
あいの
あいみ
あいら
あいり
あいりん
あいる
あいん
あい代
あい子
あい志
あい李
あい梨
あい理
あい美
あい花
あい菜
あい蘭
あい里
あい香
あう
あうり
あえ
あえこ
あえり
あえ佳
あえ夏
あえ子
あえ実
あえ果
あえ歌
あえ華
あえ香
あお
あおい
あおい子
あおえ
あおこ
あおし
あおぞら
あおば
あおば子
あおり
あおゐ
あお依
あお羽
あお葉
あお野
あか
あかこ
あかさ
あかざ
あかし
あかな
あかね
あかねこ
あかは
あかり
あかる
あかるたい
あか利
あか吏
あか李
あか梨
あか理
あか璃
あか美
あか莉
あか里
あか音
あがさ
あがた
あき
あきえ
あきお
あきこ
あきさ
あきしの
あきじ
あきつ
あきな
あきね
あきの
あきは
あきほ
あきみ
あきや
あきよ
あきら
あきらこ
あきら子
あきる
あきゑ
あきを
あき世
あき乃
あき代
あき奈
あき娘
あき子
あき帆
あき恵
あき慧
あき枝
あき江
あき沙
あき穂
あき英
あき菜
あき葉
あき重
あき野
あくあ
あくま
あくら
あくり
あくる
あく実
あぐ
あぐぐ
あぐむ
あぐり
あぐ里
あけの
あけみ
あける
あけ乃
あけ代
あけ実
あけ帆
あけ美
あけ野
あげは
あげり
あげ波
あこ
あこがれ
あこと
あこね
あこめ
あこや
あさ
あさえ
あさか
あさき
あさぎ
あさこ
あさじ
あさぢ
あさと
あさな
あさの
あさみ
あさや
あさよ
あさり
あさゑ
あさを
あさ乃
あさ代
あさ佳
あさ依
あさ味
あさ夏
あさ子
あさ実
あさ帆
あさ恵
あさ慧
あさ未
あさ果
あさ枝
あさ栄
あさ歌
あさ江
あさ絵
あさ美
あさ英
あさ華
あさ見
あさ路
あさ重
あさ香
あざさ
あざみ
あざり
あざ実
あしか
あした
あしたこ
あしび
あし乃
あし江
あじさい
あすあ
あすか
あすき
あすこ
あすな
あすなろ
あすま
あすみ
あすり
あす佳
あす夏
あす奈
あす実
あす歌
あす江
あす海
あす琉
あす美
あす翔
あす花
あす菜
あす華
あす貴
あす香
あず
あずか
あずき
あずさ
あずな
あずは
あずま
あずみ
あずみ乃
あずろ
あず佐
あず作
