AFGHÁNISTÁN
ALBÁNIE
ALŽÍRSKO
ANDORRA
ANGOLA
ANTIGUA A BARBUDA
ARGENTINA
ARMÉNIE
AUSTRÁLIE
ÁZERBÁJDŽÁN
BAHAMY
BAHRAJN
BANGLADÉŠ
BARBADOS
BELGIE
BELIZE
BĚLORUSKO
BENIN
BHÚTÁN
BOLÍVIE
BOSNA A HERCEGOVINA
BOTSWANA
BRAZÍLIE
BRUNEJ
BULHARSKO
BURKINA FASO
BURUNDI
ČAD
ČERNÁ HORA
ČESKÁ REPUBLIKA
ČESKO
ČÍNA
DÁNSKO
DOMINIKA
DOMINIKÁNSKÁ REPUBLIKA
DŽIBUTSKO
ECUADOR
EGYPT
EKVÁDOR
ERITREA
ESTONSKO
ETIOPIE
FIDŽI
FILIPÍNY
FINSKO
FRANCIE
GABON
GAMBIE
GHANA
GRENADA
GRUZIE
GUATEMALA
GUINEA
GUINEA-BISSAU
GUYANA
HAITI
HONDURAS
CHILE
CHORVATSKO
INDIE
INDONÉSIE
IRÁK
ÍRÁN
IRSKO
ISLAND
ITÁLIE
IZRAEL
JAMAJKA
JAPONSKO
JEMEN
JIHOAFRICKÁ REPUBLIKA
JIŽNÍ KOREA
JIŽNÍ SÚDÁN
JORDÁNSKO
KAMBODŽA
KAMERUN
KANADA
KAPVERDY
KATAR
KAZACHSTÁN
KEŇA
KIRIBATI
KOLUMBIE
KOMORY
KONGO
KONŽSKÁ DEMOKRATICKÁ REPUBLIKA
KOREJSKÁ LIDOVĚ DEMOKRATICKÁ REPUBLIKA
KOREJSKÁ REPUBLIKA
KOSTARIKA
KUBA
KUVAJT
KYPR
KYRGYZSTÁN
LAOS
LESOTHO
LIBANON
LIBÉRIE
LIBYE
LICHTENŠTEJNSKO
LITVA
LOTYŠSKO
LUCEMBURSKO
MADAGASKAR
MAĎARSKO
MALAJSIE
MALAWI
MALEDIVY
MALI
MALTA
MAROKO
MARSHALLOVY OSTROVY
MAURICIUS
MAURITÁNIE
MEXIKO
MIKRONÉSIE
MOLDAVSKO
MONAKO
MONGOLSKO
MOSAMBIK
MYANMAR
NAMIBIE
NAURU
NĚMECKO
NEPÁL
NIGER
NIGÉRIE
NIKARAGUA
NIZOZEMSKO
NORSKO
NOVÝ ZÉLAND
OMÁN
PAKISTAN
PÁKISTÁN
PALAU
PANAMA
PAPUA NOVÁ GUINEA
PARAGUAY
PERU
POBŘEŽÍ SLONOVINY
POLSKO
PORTORIKO
PORTUGALSKO
RAKOUSKO
ROVNÍKOVÁ GUINEA
RUMUNSKO
RUSKO
RWANDA
ŘECKO
SALVADOR
SAMOA
SAN MARINO
SAO TOMÉ A PRINCIP
SAÚDSKÁ ARÁBIE
SENEGAL
SEVERNÍ KOREA
SEVERNÍ MAKEDONIE
SEYCHELY
SIERRA LEONE
SINGAPUR
SLOVENSKO
SLOVINSKO
SOMÁLSKO
SPOJENÉ ARABSKÉ EMIRÁTY
SPOJENÉ KRÁLOVSTVÍ
SPOJENÉ KRÁLOVSTVÍ VELKÉ BRITÁNIE A SEVERNÍHO IRSKA
SPOJENÉ STÁTY AMERICKÉ
SRBSKO
SRÍ LANKA
STŘEDOAFRICKÁ REPUBLIKA
SÚDÁN
SURINAM
SVATÁ LUCIE
SVATÝ KRYŠTOF A NEVIS
SVATÝ TOMÁŠ A PRINCŮV OSTROV
SVATÝ VINCENC A GRENADINY
SVAZIJSKO
SÝRIE
ŠALOMOUNOVY OSTROVY
ŠPANĚLSKO
ŠVÉDSKO
ŠVÝCARSKO
TÁDŽIKISTÁN
TANZANIE
THAJSKO
TOGO
TONGA
TRINIDAD A TOBAGO
TUNISKO
TURECKO
TURKMENISTÁN
TUVALU
UGANDA
UKRAJINA
URUGUAJ
URUGUAY
USA
UZBEKISTÁN
VANUATU
VATIKÁN
VENEZUELA
VIETNAM
VÝCHODNÍ TIMOR
ZAMBIE
ZIMBABWE

