#100
#101 Copyright 2017-2026 Tim Segall
#102
#103 Licensed under the Apache License, Version 2.0 (the "License");
#104 you may not use this file except in compliance with the License.
#105 You may obtain a copy of the License at
#106
#107 http://www.apache.org/licenses/LICENSE-2.0
#108
#109 Unless required by applicable law or agreed to in writing, software
#110 distributed under the License is distributed on an "AS IS" BASIS,
#111 WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
#112 See the License for the specific language governing permissions and
#113 limitations under the License.
#114
AFGHANISTAN
AFRIQUE DU SUD
ALBANIE
ALGÉRIE
ALLEMAGNE
ANDORRE
ANGOLA
ANTIGUA-ET-BARBUDA
ARABIE SAOUDITE
ARGENTINE
ARMÉNIE
AUSTRALIE
AUTRICHE
AZERBAÏDJAN
BAHAMAS
BAHREÏN
BANGLADESH
BARBADE
BELGIQUE
BELIZE
BÉNIN
BHOUTAN
BIÉLORUSSIE
BIRMANIE
BOLIVIE
BOSNIE-HERZÉGOVINE
BOTSWANA
BRÉSIL
BRUNEI
BULGARIE
BURKINA FASO
BURUNDI
CAMBODGE
CAMEROUN
CANADA
CAP-VERT
CHILI
CHINE
CHYPRE
COLOMBIE
COMORES
CORÉE DU NORD
CORÉE DU SUD
COSTA RICA
CÔTE D'IVOIRE
CROATIE
CUBA
DANEMARK
DJIBOUTI
DOMINIQUE
ÉGYPTE
ÉMIRATS ARABES UNIS
ÉQUATEUR
ÉRYTHRÉE
ESPAGNE
ESTONIE
ÉTATS-UNIS
ÉTHIOPIE
FIDJI
FINLANDE
FRANCE
GABON
GAMBIE
GÉORGIE
GHANA
GRÈCE
GRENADE
GUATEMALA
GUINÉE
GUINÉE ÉQUATORIALE
GUINÉE-BISSAU
GUYANE
HAÏTI
HONDURAS
HONGRIE
ÎLES MARSHALL
ÎLES SALOMON
INDE
INDONÉSIE
IRAK
IRAN
IRLANDE
ISLANDE
ISRAËL
ITALIE
JAMAÏQUE
JAPON
JORDAN
KAZAKHSTAN
KENYA
KIRGHIZISTAN
KIRIBATI
KOWEÏT
LAOS
LESOTHO
LETTONIE
LIBAN
LIBERIA
LIBYE
LIECHTENSTEIN
LITUANIE
LUXEMBOURG
MACÉDOINE
MADAGASCAR
MALAISIE
MALAWI
MALDIVES
MALI
MALTE
MAROC
MAURICE
MAURITANIE
MEXIQUE
MICRONÉSIE
MOLDAVIE
MONACO
MONGOLIE
MONTÉNÉGRO
MOZAMBIQUE
NAMIBIE
NAURU
NÉPAL
NICARAGUA
NIGER
NIGERIA
NORVÈGE
NOUVELLE-ZÉLANDE
OMAN
OUGANDA
OUZBÉKISTAN
PAKISTAN
PALAU
PANAMA
PAPOUASIE-NOUVELLE-GUINÉE
PARAGUAY
PAYS-BAS
PÉROU
PHILIPPINES
POLOGNE
PORTUGAL
QATAR
RÉPUBLIQUE CENTRAFRICAINE
RÉPUBLIQUE DÉMOCRATIQUE DU CONGO
RÉPUBLIQUE DOMINICAINE
RÉPUBLIQUE DU CONGO
RÉPUBLIQUE TCHÈQUE
ROUMANIE
ROYAUME-UNI
RUSSIE
RWANDA
SAINT-CHRISTOPHE-ET-NIÉVÈS
SAINT-MARIN
SAINT-VINCENT-ET-LES-GRENADINES
SAINTE-LUCIE
SALVADOR
SAMOA
SÃO TOMÉ-ET-PRINCIPE
SÉNÉGAL
SERBIE
SEYCHELLES
SIERRA LEONE
SINGAPOUR
SLOVAQUIE
SLOVÉNIE
SOMALIE
SOUDAN
SOUDAN DU SUD
SRI LANKA
SUÈDE
SUISSE
SURINAME
SWAZILAND
SYRIE
TADJIKISTAN
TANZANIE
TCHAD
THAÏLANDE
TIMOR ORIENTAL
TOGO
TONGA
TRINITÉ-ET-TOBAGO
TUNISIE
TURKMÉNISTAN
TURQUIE
TUVALU
UKRAINE
URUGUAY
VANUATU
VENEZUELA
VIÊT NAM
YÉMEN
ZAMBIE
ZIMBABWE
