AMERICAN EXPRESS
AMERICANEXPRESS
AMEX
BANKCARD
DINERS
DINERS CLUB INTERNATIONAL
DISCOV
DISCOVER
JAPAN CREDIT BUREAU
JCB
LASER
MASTER
MASTER CARD
MASTERCARD
VISA
