ARGENTO
ARANCIONE
AVORIO
AZZURRO
BEIGE
BIANCO
BORDEAUX
BRONZO
BLU
BLU NAVY
CANNELLA
CIANO
CILIEGIA
CORALLO
CREMA
GIALLO
GRANATA
GRIGIO
INDACO
LAVANDA
LIME
MAGENTA
MARRONE
NERO
OLIVA
ORO
PESCA
ROSA
ROSSO
SALMONE
TURCHESE
VERDE
VIOLA
