#100
#101 Copyright 2017-2026 Tim Segall
#102
#103 Licensed under the Apache License, Version 2.0 (the "License");
#104 you may not use this file except in compliance with the License.
#105 You may obtain a copy of the License at
#106
#107 http://www.apache.org/licenses/LICENSE-2.0
#108
#109 Unless required by applicable law or agreed to in writing, software
#110 distributed under the License is distributed on an "AS IS" BASIS,
#111 WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
#112 See the License for the specific language governing permissions and
#113 limitations under the License.
日本語
英語
中国語
広東語
普通話
スペイン語
フランス語
ドイツ語
イタリア語
ポルトガル語
ロシア語
韓国語
朝鮮語
アラビア語
ヒンディー語
ベンガル語
パンジャブ語
ウルドゥー語
タミル語
テルグ語
マラーティー語
グジャラート語
カンナダ語
マラヤーラム語
オリヤー語
シンハラ語
ネパール語
ミャンマー語
タイ語
ラオ語
クメール語
ベトナム語
インドネシア語
マレー語
タガログ語
ジャワ語
スンダ語
オランダ語
スウェーデン語
ノルウェー語
デンマーク語
フィンランド語
ポーランド語
チェコ語
スロバキア語
ハンガリー語
ルーマニア語
ブルガリア語
セルビア語
クロアチア語
ボスニア語
スロベニア語
マケドニア語
アルバニア語
リトアニア語
ラトビア語
エストニア語
ウクライナ語
ベラルーシ語
ギリシャ語
トルコ語
アゼルバイジャン語
ウズベク語
カザフ語
モンゴル語
チベット語
ヘブライ語
ペルシャ語
パシュトー語
スワヒリ語
アムハラ語
ハウサ語
ヨルバ語
イグボ語
ズールー語
アフリカーンス語
ソマリ語
アイスランド語
アイルランド語
ウェールズ語
カタルーニャ語
バスク語
ガリシア語
ラテン語
エスペラント
