#100
#101 Copyright 2017-2026 Tim Segall
#102
#103 Licensed under the Apache License, Version 2.0 (the "License");
#104 you may not use this file except in compliance with the License.
#105 You may obtain a copy of the License at
#106
#107 http://www.apache.org/licenses/LICENSE-2.0
#108
#109 Unless required by applicable law or agreed to in writing, software
#110 distributed under the License is distributed on an "AS IS" BASIS,
#111 WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
#112 See the License for the specific language governing permissions and
#113 limitations under the License.
#114 Primed from Japan Standard Industrial Classification (日本標準産業分類) major and medium categories
農業、林業
漁業
鉱業、採石業、砂利採取業
建設業
製造業
電気・ガス・熱供給・水道業
情報通信業
運輸業、郵便業
卸売業、小売業
金融業、保険業
不動産業、物品賃貸業
学術研究、専門・技術サービス業
宿泊業、飲食サービス業
生活関連サービス業、娯楽業
教育、学習支援業
医療、福祉
複合サービス事業
公務
農業
林業
漁業
水産養殖業
鉱業
採石業
砂利採取業
土木工事業
建築工事業
設備工事業
食料品製造業
飲料・たばこ・飼料製造業
繊維工業
木材・木製品製造業
家具・装備品製造業
パルプ・紙・紙加工品製造業
印刷・同関連業
化学工業
石油製品・石炭製品製造業
プラスチック製品製造業
ゴム製品製造業
窯業・土石製品製造業
鉄鋼業
非鉄金属製造業
金属製品製造業
はん用機械器具製造業
生産用機械器具製造業
業務用機械器具製造業
電子部品・デバイス・電子回路製造業
電気機械器具製造業
情報通信機械器具製造業
輸送用機械器具製造業
電気業
ガス業
熱供給業
水道業
通信業
放送業
情報サービス業
インターネット附随サービス業
映像・音声・文字情報制作業
鉄道業
道路旅客運送業
道路貨物運送業
水運業
航空運輸業
倉庫業
郵便業
各種商品卸売業
飲食料品卸売業
機械器具卸売業
銀行業
協同組織金融業
保険業
不動産取引業
不動産賃貸業・管理業
物品賃貸業
学術・開発研究機関
専門サービス業
広告業
技術サービス業
宿泊業
飲食店
洗濯・理容・美容・浴場業
娯楽業
学校教育
医療業
保健衛生
社会保険・社会福祉・介護事業
廃棄物処理業
自動車整備業
職業紹介・労働者派遣業
IT業界
金融業界
製造業界
医療業界
教育業界
小売業界
不動産業界
建設業界
食品業界
自動車業界
化学業界
電機業界
通信業界
流通業界
エネルギー業界
物流業界
観光業界
航空業界
保険業界
