BEIGE
BLÅ
BORDEAUX
BRONZE
BRUN
CORAL
CREME
CYAN
ELFENBEN
GRØN
GRÅ
GUL
GULD
HVID
INDIGO
KORAL
LAVENDEL
LAKS
LIME
LILLA
LYSERØD
MAGENTA
MARINEBLÅ
OLIVEN
ORANGE
RØD
SORT
SØLV
TURKIS
VIOLET
