#001
#002 Set of Australian Suburbs
#004
#005 This file is licensed under a Creative Commons Attribution 4.0 License.
#006 https://creativecommons.org/licenses/by/4.0/
#007
#008 Note: The file actually used is a serialized bloom filter created from this file using the following:
#009 types --bloomfilter types/src/main/resources/reference/<file>.csv  types/src/main/resources/reference/<file>.bf string
#010
AARONS PASS
ABBA RIVER
ABBEY
ABBEYARD
ABBEYWOOD
ABBOTSBURY
ABBOTSFORD
ABBOTSHAM
ABECKETT STREET
ABELS BAY
ABERCORN
ABERCROMBIE
ABERCROMBIE RIVER
ABERDARE
ABERDEEN
ABERFELDIE
ABERFELDY
ABERFOYLE
ABERFOYLE PARK
ABERGLASSLYN
ABERGOWRIE
ABERMAIN
ABERNETHY
ABINGDON DOWNS
ABINGTON
ABMINGA STATION
ACACIA CREEK
ACACIA GARDENS
ACACIA HILLS
ACACIA PARK
ACACIA PLATEAU
ACACIA RIDGE
ACACIA RIDGE BC
ACACIA RIDGE DC
ACHERON
ACLAND
ACT REMAINDER - BELCONNEN
ACT REMAINDER - BOOTH
ACT REMAINDER - COREE
ACT REMAINDER - COTTER RIVER
ACT REMAINDER - GUNGAHLIN
ACT REMAINDER - HALL
ACT REMAINDER - JERRABOMBERRA
ACT REMAINDER - KOWEN
ACT REMAINDER - MAJURA
ACT REMAINDER - MOLONGLO VALLEY
ACT REMAINDER - PADDYS RIVER
ACT REMAINDER - RENDEZVOUS CREEK
ACT REMAINDER - STROMLO
ACT REMAINDER - TUGGERANONG
ACT REMAINDER - WESTON CREEK
ACTON
ACTON PARK
ADA
ADAMINABY
ADAMS ESTATE
ADAMSTOWN
ADAMSTOWN HEIGHTS
ADAMSVALE
ADARE
ADAVALE
ADDINGTON
ADELAIDE
ADELAIDE AIRPORT
ADELAIDE BC
ADELAIDE LEAD
ADELAIDE PARK
ADELAIDE RIVER
ADELAIDE UNIVERSITY
ADELONG
ADJUNGBILLY
ADVANCETOWN
ADVENTURE BAY
AEROGLEN
AFTERLEE
AGERY
AGNES
AGNES BANKS
AGNES WATER
AGNEW
AHERRENGE
AILSA
AINSLIE
AINTREE
AIRDMILLAN
AIRDS
AIRE VALLEY
AIREYS INLET
AIRLIE BEACH
AIRLY
AIRPORT WEST
AIRVILLE
AITKENVALE
AITKENVALE BC
AJANA
AKAROA
AKOLELE
AKUNA BAY
ALABAMA HILL
ALANVALE
ALAWA
ALAWOONA
ALBACUTYA
ALBANVALE
ALBANY
ALBANY CREEK
ALBANY DC
ALBANY PO
ALBERT
ALBERT PARK
ALBERTA
ALBERTON
ALBERTON WEST
ALBINIA
ALBION
ALBION BC
ALBION DC
ALBION HEIGHTS
ALBION PARK
ALBION PARK RAIL
ALBURY
ALBURY MSC
ALCOMIE
ALDAVILLA
ALDERLEY
ALDERSHOT
ALDERSYDE
ALDGATE
ALDINGA
ALDINGA BEACH
ALDOGA
ALECTOWN
ALEXANDER HEIGHTS
ALEXANDRA
ALEXANDRA BRIDGE
ALEXANDRA HEADLAND
ALEXANDRA HILLS
ALEXANDRIA
ALEXANDRIA MC
ALFORD
ALFORDS POINT
ALFRED COVE
ALFREDTON
ALFREDTOWN
ALGESTER
ALI CURUNG
ALICE
ALICE CREEK
ALICE RIVER
ALICE SPRINGS
ALISON
ALKIMOS
ALLAMBEE
ALLAMBEE RESERVE
ALLAMBEE SOUTH
ALLAMBIE
ALLAMBIE HEIGHTS
ALLAN
ALLANDALE
ALLANDALE STATION
ALLANOOKA
ALLANS FLAT
ALLANSFORD
ALLANSON
ALLAWAH
ALLEENA
ALLENBY GARDENS
ALLENDALE
ALLENDALE EAST
ALLENDALE NORTH
ALLENS RIVULET
ALLENSTOWN
ALLENVIEW
ALLESTREE
ALLGOMERA
ALLGOMERA CREEK
ALLIGATOR CREEK
ALLINGHAM
ALLORA
ALLOWAY
ALLWORTH
ALLYNBROOK
ALMA
ALMA PARK
ALMADEN
ALMONDS
ALMURTA
ALONNAH
ALOOMBA
ALPANA
ALPHA
ALPHINGTON
ALPINE
ALPURRURULAM
ALROY
ALSACE
ALSTONVALE
ALSTONVILLE
ALTANDI
ALTON DOWNS
ALTON DOWNS STATION
ALTONA
ALTONA EAST
ALTONA GATE
ALTONA MEADOWS
ALTONA NORTH
ALUMY CREEK
ALVA
ALVIE
ALYANGULA
AMAMOOR
AMAMOOR CREEK
AMAROO
AMATA
AMBANIA
AMBARVALE
AMBER
AMBERGATE
AMBERLEY
AMBLESIDE
AMBROSE
AMBY
AMELUP
AMERICAN BEACH
AMERICAN RIVER
AMHERST
AMIENS
AMITY
AMITY POINT
AMMERDOWN
AMOONGUNA
AMOR
AMOSFIELD
AMPHITHEATRE
AMPILATWATJA
AMYTON
ANABRANCH NORTH
ANABRANCH SOUTH
ANAKIE
ANAKIE SIDING
ANAMA
ANAMBAH
ANANGU PITJANTJATJARA YANKUNYTJATJARA
ANATYE
ANCONA
ANDAMOOKA
ANDAMOOKA STATION
ANDERGROVE
ANDERLEIGH
ANDERSON
ANDO
ANDOVER
ANDREWS
ANDREWS FARM
ANDROMACHE
ANDURAMBA
ANEMBO
ANGAS PLAINS
ANGAS VALLEY
ANGASTON
ANGELLALA
ANGELO RIVER
ANGEPENA
ANGIP
ANGLE PARK
ANGLE VALE
ANGLEDALE
ANGLEDOOL
ANGLERS PARADISE
ANGLERS REACH
ANGLERS REST
ANGLESEA
ANGORIGINA
ANGOURIE
ANGURUGU
ANGUS
ANGUS PLACE
ANINDILYAKWA
ANKETELL
ANMATJERE
ANNA BAY
ANNA CREEK
ANNADALE
ANNANDALE
ANNANGROVE
ANNERLEY
ANNERLEY DC
ANNIE RIVER
ANNIEBROOK
ANNUELLO
ANSONS BAY
ANSTEAD
ANTECHAMBER BAY
ANTEWENEGERRDE
ANTHONY
ANTHONYS LAGOON
ANTIGUA
ANTILL PONDS
ANTONYMYRE
ANTWERP
ANU
ANULA
APAMURRA
APOINGA
APOLLO BAY
APPILA
APPIN
APPIN PARK
APPIN SOUTH
APPLE TREE CREEK
APPLE TREE FLAT
APPLEBY
APPLECROSS
APPLECROSS NORTH
APPLETHORPE
APPLETREE FLAT
APSLAWN
APSLEY
ARABLE
ARAFURA SEA
ARAKOON
ARALUEN
ARALUEN NORTH
ARAMAC
ARAMARA
ARANA HILLS
ARANBANGA
ARANDA
ARAPILES
ARARAT
ARARAT EAST
ARATULA
ARAWATA
ARBOUIN
ARBUCKLE
ARCADIA
ARCADIA BAY
ARCADIA SOUTH
ARCADIA VALE
ARCADIA VALLEY
ARCHDALE
ARCHDALE JUNCTION
ARCHER
ARCHER RIVER
ARCHERFIELD
ARCHERFIELD BC
ARCHERTON
ARCHIES CREEK
ARCKARINGA
ARCOONA
ARCTURUS
ARDATH
ARDEER
ARDGLEN
ARDING
ARDLETHAN
ARDMONA
ARDROSS
ARDROSSAN
AREEGRA
AREYONGA
ARGALONG
ARGENTON
ARGENTS HILL
ARGOON
ARGYLE
ARGYLL
ARIAH PARK
ARKAROOLA
ARKAROOLA VILLAGE
ARKELL
ARKENDEITH
ARKSTONE
ARMADALE
ARMADALE NORTH
ARMAGH
ARMATREE
ARMIDALE
ARMIDALE DC
ARMIDALE EAST
ARMSTRONG
ARMSTRONG BEACH
ARMSTRONG CREEK
ARNCLIFFE
ARNDELL PARK
ARNO BAY
ARNOLD
ARNOLD WEST
AROONA
ARRAWARRA
ARRAWARRA HEADLAND
ARRIGA
ARRINO
ARROWSMITH
ARROWSMITH EAST
ARTARMON
ARTHUR RIVER
ARTHURS CREEK
ARTHURS LAKE
ARTHURS SEAT
ARTHURTON
ARTHURVILLE
ARUMBERA
ARUMPO
ARUNDEL
ARUNDEL BC
ARUNDEL DC
ASCOT
ASCOT PARK
ASCOT VALE
ASHBOURNE
ASHBURTON
ASHBURY
ASHBY
ASHBY HEIGHTS
ASHBY ISLAND
ASHCROFT
ASHENDON
ASHFIELD
ASHFORD
ASHGROVE
ASHGROVE EAST
ASHGROVE WEST
ASHLEY
ASHMONT
ASHMORE
ASHMORE CITY
ASHTON
ASHTONFIELD
ASHVILLE
ASHWELL
ASHWOOD
ASPENDALE
ASPENDALE GARDENS
ASPLEY
ASQUITH
ATHELSTONE
ATHERTON
ATHLONE
ATHOL
ATHOL PARK
ATHOLWOOD
ATITJERE
ATKINSONS DAM
ATTADALE
ATTUNGA
ATTWOOD
ATWELL
AUBIGNY
AUBIN GROVE
AUBINVILLE
AUBREY
AUBURN
AUBURN SOUTH
AUBURN VALE
AUCHENFLOWER
AUCHMORE
AUDLEY
AUGATHELLA
AUGUSTA
AUGUSTINE HEIGHTS
AUGUSTUS DOWNS
AULDANA
AURUKUN
AURVILLE
AUSTINMER
AUSTINS FERRY
AUSTINVILLE
AUSTRAL
AUSTRAL EDEN
AUSTRALIA FAIR
AUSTRALIA PLAINS
AUSTRALIA SQUARE
AUSTRALIAN DEFENCE FORCES
AUSTRALIND
AVALON
AVALON BEACH
AVELEY
AVENEL
AVENELL HEIGHTS
AVENUE RANGE
AVISFORD
AVOCA
AVOCA BEACH
AVOCA DELL
AVOCA VALE
AVON
AVON DOWNS
AVON PLAINS
AVON VALLEY NATIONAL PARK
AVONDALE
AVONDALE HEIGHTS
AVONMORE
AVONSIDE
AVONSLEIGH
AWABA
AXE CREEK
AXEDALE
AYERS RANGE SOUTH
AYERS ROCK
AYLMERTON
AYR
AYRFORD
AYTON
Australian National University
BAAN BAA
BAANDEE
BAARMUTHA
BABAKIN
BABBAGE ISLAND
BABINDA
BABYL CREEK
BACCHUS MARSH
BACK CREEK
BACK FOREST
BACK PLAINS
BACK VALLEY
BACKMEDE
BACKWATER
BACKY POINT
BADDAGINNIE
BADDOW
BADEN
BADGEBUP
BADGER CREEK
BADGER HEAD
BADGERIN ROCK
BADGERYS CREEK
BADGIN
BADGINGARRA
BADJA
BADJALING
BADU ISLAND
BAEL BAEL
BAERAMI
BAERAMI CREEK
BAFFLE CREEK
BAFFLE WEST
BAGDAD
BAGDAD NORTH
BAGNOO
BAGO
BAGOT
BAGOT WELL
BAGOTVILLE
BAGSHOT
BAGSHOT NORTH
BAHGALLAH
BAHRS SCRUB
BAILEY CREEK
BAILIESTON
BAILUP
BAINES
BAIRD BAY
BAIRNSDALE
BAJOOL
BAKARA
BAKARA WELL
BAKERS BEACH
BAKERS BEND
BAKERS CREEK
BAKERS HILL
BAKERS SWAMP
BAKERY HILL
BAKEWELL
BAKING BOARD
BALACLAVA
BALAH
BALAKLAVA
BALALA
BALARANG
BALBARRUP
BALBERRA
BALCATTA
BALCOLYN
BALCOMBA
BALD BLAIR
BALD HILLS
BALD KNOB
BALD NOB
BALD RIDGE
BALD ROCK
BALDERSLEIGH
BALDINA
BALDIVIS
BALDRY
BALFES CREEK
BALFOURS PEAK
BALGA
BALGAL BEACH
BALGOWAN
BALGOWLAH
BALGOWLAH HEIGHTS
BALGOWNIE
BALHANNAH
BALICKERA
BALINGOOL
BALINGUP
BALINTORE
BALKULING
BALL BAY
BALLA BALLA
BALLADONG
BALLADONIA
BALLADORAN
BALLAJURA
BALLALABA
BALLAN
BALLANDEAN
BALLANGEICH
