BEIGE
BLAU
BORDEAUX
BRAUN
BRONZE
CREME
CYAN
DUNKELBLAU
ELFENBEIN
GELB
GOLD
GRAU
GRÜN
HELLBLAU
INDIGO
KASTANIENBRAUN
LACHS
LAVENDEL
LILA
LIMETTE
MAGENTA
MARINEBLAU
OLIVE
ORANGE
PFIRSICH
ROSA
ROT
SCHWARZ
SILBER
TÜRKIS
VIOLETT
WEISS
