БЕЖЕВЫЙ
БЕЛЫЙ
БИРЮЗОВЫЙ
БОРДОВЫЙ
БРОНЗОВЫЙ
ГОЛУБОЙ
ЖЁЛТЫЙ
ЗЕЛЁНЫЙ
ЗОЛОТОЙ
ИНДИГО
КОРАЛЛОВЫЙ
КОРИЧНЕВЫЙ
КРЕМОВЫЙ
КРАСНЫЙ
ЛАВАНДОВЫЙ
ЛАЙМОВЫЙ
ЛОСОСЕВЫЙ
МАЛИНОВЫЙ
ОЛИВКОВЫЙ
ОРАНЖЕВЫЙ
ПЕРСИКОВЫЙ
РОЗОВЫЙ
СЕРЕБРЯНЫЙ
СЕРЫЙ
СИНИЙ
СИРЕНЕВЫЙ
ТЁМНО-СИНИЙ
ФИОЛЕТОВЫЙ
ЧЁРНЫЙ
