AFRIKAANS
ALBANEES
AMHAARS
ARABISCH
ARMEENS
AZERBEIDZJAANS
BASKISCH
BENGAALS
BULGAARS
CATALAANS
CHINEES
DEENS
DUITS
ENGELS
ESTLANDS
FINS
FRANS
GALICISCH
GEORGISCH
GRIEKS
GUJARATI
HEBREEUWS
HINDI
HONGAARS
INDONESISCH
IERS
IJSLANDS
ITALIAANS
JAPANS
KAZACHS
KIRGIZISCH
KOERDISCH
KOREAANS
KROATISCH
LETS
LITOUWS
LUXEMBURGS
MACEDONISCH
MALEIS
MALTEES
MARATHI
MONGOOLS
NOORS
OEKRAÏENS
OEZBEEKS
PERZISCH
POOLS
PORTUGEES
PUNJABI
ROEMEENS
RUSSISCH
SERVISCH
SINGALEES
SLOWAAKS
SLOVEENS
SOMALISCH
SPAANS
SWAHILI
TSJECHISCH
TURKS
VIETNAMEES
YORUBA
ZWEEDS
ZULU
NEDERLANDS
