#100
#101 Copyright 2017-2023 Tim Segall
#102
#103 Licensed under the Apache License, Version 2.0 (the "License");
#104 you may not use this file except in compliance with the License.
#105 You may obtain a copy of the License at
#106
#107 http://www.apache.org/licenses/LICENSE-2.0
#108
#109 Unless required by applicable law or agreed to in writing, software
#110 distributed under the License is distributed on an "AS IS" BASIS,
#111 WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
#112 See the License for the specific language governing permissions and
#113 limitations under the License.
#114
#115 Good UK reference - https://ideal-postcodes.co.uk/guides/thoroughfare-descriptors
#116 Good US reference - https://pe.usps.com/text/pub28/28apc_002.htm
#117
#118 CR = Country Route/Road
#119 RR = Rural Route/Road
#120 FM = Farm to Market Road (Texas)
#121 RM = Ranch to Market (Texas)
#122 Circuit/CCT (Australia)
#123
ALLEY
ALY
ARCADE
AV
AVE
AVE.
AVENUE
BEND
BL
BLVD
BLVD.
BND
BOULEVARD
BROADWAY
BV
BVD
BVD.
CAMINO
CAUSEWAY
CCT
CENTER
CIR
CIR.
CIRCLE
CIRCUIT
CIRCUS
CLOSE
CMN
CMNS
COMMON
COMMONS
CORNER
COURT
COVE
CR
CREEK
CRES
CRES.
CRESCENT
CREST
CRK
CROSSING
CT
CT.
CTR
CURVE
CV
DALE
DR
DR.
DRIVE
ESPLANADE
EXPRESSWAY
EXPWY
EXPWY.
EXPY
FM
FORD
FRD
FRWY
FRWY.
FTAFTAFTA
FWY
GARDEN
GARDENS
GATEWAY
GRANGE
GREEN
GROVE
GTWY
HEIGHTS
HIGHWAY
HILL
HOLLOW
HOLW
HTS
HW
HWY
HWY.
IH
INTERSTATE
JUNCTION
KNOLL
LA
LA.
LANDING
LANE
LN
LN.
LNDG
LOOP
MALL
MANOR
MEADOW
MEADOWS
MEWS
MNR
PARADE
PARK
PARKWAY
PASS
PATH
PDE
PDE.
PIKE
PK
PKWY
PKWY.
PKY
PL
PL.
PLACE
PLAZA
PLZ
POINT
PROMENADE
PT
QUAY
RD
RD.
RDG
RIDGE
RM
ROAD
ROUTE
ROW
RR
RT
RTE
RUN
SH
SQ
SQ.
SQUARE
ST
ST.
STREET
SVRD
TCE
TCE.
TE
TER
TER.
TERRACE
TPKE
TRAIL
TRL
TURNPIKE
VIEW
VILLAGE
VW
WALK
WAY
WY
