AZUAY
BOLIVAR
BOLÍVAR
CANAR
CAÑAR
CARCHI
CHIMBORAZO
COTOPAXI
EL ORO
ESMERALDAS
GALAPAGOS
GALÁPAGOS
GUAYAS
IMBABURA
LOJA
LOS RIOS
LOS RÍOS
MANABI
MANABÍ
MORONA SANTIAGO
NAPO
ORELLANA
PASTAZA
PICHINCHA
SANTA ELENA
SANTO DOMINGO DE LOS TSACHILAS
SANTO DOMINGO DE LOS TSÁCHILAS
SUCUMBIOS
SUCUMBÍOS
TUNGURAHUA
ZAMORA CHINCHIPE
