AGU
AGUASCALIENTES
BAJA CALIFORNIA
BAJA CALIFORNIA SUR
BCN
BCS
CAM
CAMPECHE
CHH
CHIAPAS
CHIHUAHUA
CHP
CIUDAD DE MÉXICO
CMX
COA
COAHUILA
COAHUILA DE ZARAGOZA
COL
COLIMA
DUR
DURANGO
GRO
GUA
GUANAJUATO
GUERRERO
HID
HIDALGO
JAL
JALISCO
MEX
MÉXICO
MIC
MICHOACÁN
MICHOACÁN DE OCAMPO
MOR
MORELOS
NAY
NAYARIT
NLE
NUEVO LEÓN
OAX
OAXACA
PUE
PUEBLA
QUE
QUERÉTARO
QUINTANA ROO
ROO
SAN LUIS POTOSÍ
SIN
SINALOA
SLP
SON
SONORA
TAB
TABASCO
TAM
TAMAULIPAS
TLA
TLAXCALA
VER
VERACRUZ
VERACRUZ DE IGNACIO DE LA LLAVE
YUC
YUCATÁN
ZAC
ZACATECAS
