BEIGE
BLÅ
BORDEAUX
BRONS
BRUN
CYAN
ELFENBEN
GRÖN
GRÅ
GUL
GULD
INDIGO
KASTANJ
KORALL
KRÄM
LAVENDEL
LAX
LIME
LILA
MAGENTA
MARINBLÅ
OLIV
ORANGE
ROSA
RÖD
SILVER
SVART
TURKOS
VIOLETT
VIT
