#100
#101 Copyright 2017-2022 Tim Segall
#102
#103 Licensed under the Apache License, Version 2.0 (the "License");
#104 you may not use this file except in compliance with the License.
#105 You may obtain a copy of the License at
#106
#107 http://www.apache.org/licenses/LICENSE-2.0
#108
#109 Unless required by applicable law or agreed to in writing, software
#110 distributed under the License is distributed on an "AS IS" BASIS,
#111 WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
#112 See the License for the specific language governing permissions and
#113 limitations under the License.
#114
AFGHAN AFGHANI
AFGHANI
ALBANIAN LEK
ALGERIAN DINAR
ANGOLAN KWANZA
ARGENTINE PESO
ARMENIAN DRAM
ARUBAN FLORIN
AUSTRALIAN DOLLAR
AZERBAIJAN MANAT
BAHAMIAN DOLLAR
BAHRAINI DINAR
BALBOA
BANGLADESHI TAKA
BARBADOS DOLLAR
BELARUSIAN RUBLE
BELIZE DOLLAR
BENJAMIN FRANKLIN
BERMUDIAN DOLLAR
BHUTANESE NGULTRUM
BIRR
BOLÍVAR
BOLIVIANO
BRAZILIAN REAL
BRUNEI DOLLAR
BULGARIAN LEV
BURMESE KYAT
BURUNDI FRANC
CAMBODIAN RIEL
CANADIAN DOLLAR
CAPE VERDE ESCUDO
CAYMAN ISLANDS DOLLAR
CEDI
CFP FRANC
CHILEAN PESO
COLOMBIAN PESO
COLÓN
COMORO FRANC
CÓRDOBA
COSTA RICAN COLÓN
CROATIAN KUNA
CUBAN PESO
CZECH KORUNA
DALASI
DANISH KRONE
DANISH KRONER
DENAR
DINAR
DIRHAM
DJIBOUTI FRANC
DOBRA
DOLLAR
DOMINICAN PESO
DONG
DRAM
EAST CARIBBEAN DOLLAR
EGYPTIAN POUND
ESCUDO
ETHIOPIAN BIRR
EURO
FALKLAND ISLANDS POUND
FAROESE KRÓNA
FIJI DOLLAR
FLORIN
FORINT
FRANC
FRANC CONGOLAIS
FRANKLIN
FTAFTAFTA
GIBRALTAR POUND
GOURDE
GUARANI
GUILDER
GUINEA FRANC
GUINEA-BISSAU PESO
GUYANA DOLLAR
HAITIAN GOURDE
HONG KONG DOLLAR
HRYVNIA
ICELAND KRONA
INDIAN RUPEE
IRANIAN RIAL
IRAQI DINAR
ISRAELI NEW SHEKEL
JAMAICAN DOLLAR
JORDANIAN DINAR
KENYAN SHILLING
KINA
KIP
KORUNA
KRONA
KRÓNA
KRONE
KRONER
KUNA
KUWAITI DINAR
KWACHA
KWANZA
KYAT
LARI
LEBANESE POUND
LEK
LEMPIRA
LEONE
LEU
LEV
LIBERIAN DOLLAR
LILANGENI
LIRA
LOTI
LYBIAN DINAR
MACANESE PATACA
MACEDONIAN DENAR
MALAGASY FRANC
MALAYSIAN RINGGIT
MALOTI
MALTESE LIRA
MANAT
MAURITIUS RUPEE
METICAL
MEXICAN PESO
MOLDOVAN LEU
MONGOLIA TÖGRÖG
MONGOLIA TUGHRIK
MONGOLIA TUGRI
MONGOLIA TUGRUG
MOROCCAN DIRHAM
MOZAMBICAN METICAL
NAIRA
NAKFA
NAMIBIA DOLLAR
NEPALESE RUPEE
NETHERLANDS ANTILLES
NETHERLANDS ANTILLES GUILDER
NEW ISRAELI SHEQEL
NEW SHEKEL
NEW TAIWAN DOLLAR
NEW ZEALAND DOLLAR
NGULTRUM
NICARAGUAN CÓRDOBA
NIGERIAN NAIRA
NORTH KOREAN WON
NORWEGIAN KRONE
OMANI RIAL
OUGUIYA
PAKISTAN RUPEE
PANAMANIAN BALBOA
PAPUA NEW GUINEAN KINA
PARAGUAYAN GUARANI
PATACA
PAʻANGA
PERUVIAN (NUEVO) SOL
PESO
PHILIPPINE PESO
POLISH ZLOTY
POLISH ZŁOTY
POUND
POUND STERLING
PULA
QATARI RIAL
QUETZAL
RAND
REAL
RENMINBI
RIAL
RIEL
RINGGIT
RIYAL
RUBLE
RUFIYAA
RUPEE
RUPIAH
RUSSIAN RUBLE
RWANDA FRANC
SAINT HELENA POUND
SALVADORAN COLÓN
SAUDI RIYAL
SERBIAN DINAR
SEYCHELLES RUPEE
SHEQEL
SHILLING
SINGAPORE DOLLAR
SOLOMON ISLANDS DOLLAR
SOM
SOMALI SHILLING
SOMONI
SOUTH SUDANESE POUND
SRI LANKA RUPEE
SUDANESE DINAR
SUM
SURINAME GUILDER
SWEDISH KRONA
SWISS FRANC
SYRIAN POUND
TAKA
TALA
TANZANIAN SHILLING
TENGE
THAI BAHT
TÖGRÖG
TRINIDAD AND TOBAGO DOLLAR
TUGHRIK
TUGRI
TUGRUG
TUNISIAN DINAR
UAE DIRHAM
UGANDA SHILLING
UKRAINIAN HRYVNIA
URUGUAYAN PESO
US DOLLAR
UZBEKISTAN SUM
VANUATU VATU
VATU
VENEZUELAN BOLÍVAR
VIETNAMESE DONG
WEST AFRICAN CFA FRANC
WON
YEMENI RIAL
YEN
YENI TÜRK LIRAS
YUAN
ZAMBIAN KWACHA
ZIMBABWE DOLLAR
ZLOTY
ZŁOTY
